Starting training at: Thu Apr 16 10:43:15 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '0.3136', 'grad_norm': '20.67', 'learning_rate': '7.003e-06', 'epoch': '0.6713'}
{'loss': '0.3007', 'grad_norm': '20.38', 'learning_rate': '6.984e-06', 'epoch': '0.675'}
{'loss': '0.3018', 'grad_norm': '13.17', 'learning_rate': '6.966e-06', 'epoch': '0.6787'}
{'loss': '0.2828', 'grad_norm': '14.9', 'learning_rate': '6.947e-06', 'epoch': '0.6824'}
{'loss': '0.3025', 'grad_norm': '7.261', 'learning_rate': '6.929e-06', 'epoch': '0.686'}
{'loss': '0.3207', 'grad_norm': '6.278', 'learning_rate': '6.91e-06', 'epoch': '0.6897'}
{'loss': '0.3179', 'grad_norm': '9.777', 'learning_rate': '6.892e-06', 'epoch': '0.6934'}
{'loss': '0.318', 'grad_norm': '24.36', 'learning_rate': '6.873e-06', 'epoch': '0.6971'}
{'loss': '0.3023', 'grad_norm': '29.97', 'learning_rate': '6.855e-06', 'epoch': '0.7008'}
{'eval_loss': '0.2901', 'eval_wer': '0.2634', 'eval_runtime': '29.64', 'eval_samples_per_second': '48.15', 'eval_steps_per_second': '6.04', 'epoch': '0.7008'}
{'loss': '0.2851', 'grad_norm': '14.98', 'learning_rate': '6.836e-06', 'epoch': '0.7045'}
{'loss': '0.2942', 'grad_norm': '7.679', 'learning_rate': '6.818e-06', 'epoch': '0.7082'}
{'loss': '0.285', 'grad_norm': '10.17', 'learning_rate': '6.799e-06', 'epoch': '0.7119'}
{'loss': '0.2945', 'grad_norm': '4.026', 'learning_rate': '6.781e-06', 'epoch': '0.7156'}
{'loss': '0.2628', 'grad_norm': '46.78', 'learning_rate': '6.762e-06', 'epoch': '0.7192'}
{'loss': '0.265', 'grad_norm': '6.777', 'learning_rate': '6.744e-06', 'epoch': '0.7229'}
{'loss': '0.2931', 'grad_norm': '19.03', 'learning_rate': '6.725e-06', 'epoch': '0.7266'}
{'loss': '0.2907', 'grad_norm': '10.2', 'learning_rate': '6.707e-06', 'epoch': '0.7303'}
{'loss': '0.2837', 'grad_norm': '11.82', 'learning_rate': '6.688e-06', 'epoch': '0.734'}
{'loss': '0.3118', 'grad_norm': '7.794', 'learning_rate': '6.67e-06', 'epoch': '0.7377'}
{'eval_loss': '0.2754', 'eval_wer': '0.2624', 'eval_runtime': '30.2', 'eval_samples_per_second': '47.24', 'eval_steps_per_second': '5.926', 'epoch': '0.7377'}
{'loss': '0.266', 'grad_norm': '8.015', 'learning_rate': '6.651e-06', 'epoch': '0.7414'}
{'loss': '0.2918', 'grad_norm': '7.979', 'learning_rate': '6.633e-06', 'epoch': '0.7451'}
{'loss': '0.3033', 'grad_norm': '36.26', 'learning_rate': '6.614e-06', 'epoch': '0.7487'}
{'loss': '0.2836', 'grad_norm': '9.85', 'learning_rate': '6.596e-06', 'epoch': '0.7524'}
{'loss': '0.2588', 'grad_norm': '6.998', 'learning_rate': '6.577e-06', 'epoch': '0.7561'}
{'loss': '0.3105', 'grad_norm': '13.05', 'learning_rate': '6.559e-06', 'epoch': '0.7598'}
{'loss': '0.3033', 'grad_norm': '4.719', 'learning_rate': '6.54e-06', 'epoch': '0.7635'}
{'loss': '0.2813', 'grad_norm': '8.379', 'learning_rate': '6.521e-06', 'epoch': '0.7672'}
{'loss': '0.282', 'grad_norm': '6.05', 'learning_rate': '6.503e-06', 'epoch': '0.7709'}
{'loss': '0.2843', 'grad_norm': '7.625', 'learning_rate': '6.484e-06', 'epoch': '0.7746'}
{'eval_loss': '0.2806', 'eval_wer': '0.2632', 'eval_runtime': '29.71', 'eval_samples_per_second': '48.02', 'eval_steps_per_second': '6.024', 'epoch': '0.7746'}
{'loss': '0.2858', 'grad_norm': '11.51', 'learning_rate': '6.466e-06', 'epoch': '0.7783'}
{'loss': '0.2461', 'grad_norm': '3.086', 'learning_rate': '6.447e-06', 'epoch': '0.7819'}
{'loss': '0.3119', 'grad_norm': '12.34', 'learning_rate': '6.429e-06', 'epoch': '0.7856'}
{'loss': '0.2851', 'grad_norm': '13.99', 'learning_rate': '6.41e-06', 'epoch': '0.7893'}
{'loss': '0.2911', 'grad_norm': '6.801', 'learning_rate': '6.392e-06', 'epoch': '0.793'}
