Starting training at: Thu Apr 16 11:01:45 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '0.3653', 'grad_norm': '9.903', 'learning_rate': '7.724e-06', 'epoch': '0.5274'}
{'loss': '0.3422', 'grad_norm': '9.3', 'learning_rate': '7.706e-06', 'epoch': '0.5311'}
{'loss': '0.3429', 'grad_norm': '5.98', 'learning_rate': '7.687e-06', 'epoch': '0.5348'}
{'loss': '0.316', 'grad_norm': '9.249', 'learning_rate': '7.669e-06', 'epoch': '0.5385'}
{'loss': '0.3294', 'grad_norm': '5.693', 'learning_rate': '7.65e-06', 'epoch': '0.5422'}
{'loss': '0.3171', 'grad_norm': '10.94', 'learning_rate': '7.631e-06', 'epoch': '0.5459'}
{'loss': '0.3568', 'grad_norm': 'inf', 'learning_rate': '7.613e-06', 'epoch': '0.5496'}
{'loss': '0.3181', 'grad_norm': '7.038', 'learning_rate': '7.595e-06', 'epoch': '0.5533'}
{'eval_loss': '0.2904', 'eval_wer': '0.2687', 'eval_runtime': '25.22', 'eval_samples_per_second': '56.59', 'eval_steps_per_second': '7.098', 'epoch': '0.5533'}
{'loss': '0.3374', 'grad_norm': '11.89', 'learning_rate': '7.576e-06', 'epoch': '0.5569'}
{'loss': '0.3209', 'grad_norm': '16.26', 'learning_rate': '7.558e-06', 'epoch': '0.5606'}
{'loss': '0.3256', 'grad_norm': '17.25', 'learning_rate': '7.539e-06', 'epoch': '0.5643'}
{'loss': '0.3325', 'grad_norm': '5.488', 'learning_rate': '7.521e-06', 'epoch': '0.568'}
{'loss': '0.2968', 'grad_norm': '5.543', 'learning_rate': '7.502e-06', 'epoch': '0.5717'}
{'loss': '0.319', 'grad_norm': '13.57', 'learning_rate': '7.484e-06', 'epoch': '0.5754'}
{'loss': '0.3186', 'grad_norm': '12.29', 'learning_rate': '7.465e-06', 'epoch': '0.5791'}
{'loss': '0.2809', 'grad_norm': '4.041', 'learning_rate': '7.447e-06', 'epoch': '0.5828'}
{'loss': '0.2894', 'grad_norm': '12.32', 'learning_rate': '7.428e-06', 'epoch': '0.5865'}
{'loss': '0.328', 'grad_norm': '7.241', 'learning_rate': '7.41e-06', 'epoch': '0.5901'}
{'eval_loss': '0.2774', 'eval_wer': '0.2673', 'eval_runtime': '25.27', 'eval_samples_per_second': '56.48', 'eval_steps_per_second': '7.084', 'epoch': '0.5901'}
{'loss': '0.2899', 'grad_norm': '4.691', 'learning_rate': '7.391e-06', 'epoch': '0.5938'}
{'loss': '0.284', 'grad_norm': '4.973', 'learning_rate': '7.373e-06', 'epoch': '0.5975'}
{'loss': '0.3294', 'grad_norm': '42.73', 'learning_rate': '7.354e-06', 'epoch': '0.6012'}
{'loss': '0.3105', 'grad_norm': '11.75', 'learning_rate': '7.336e-06', 'epoch': '0.6049'}
{'loss': '0.2902', 'grad_norm': '18.66', 'learning_rate': '7.317e-06', 'epoch': '0.6086'}
{'loss': '0.3188', 'grad_norm': '9.456', 'learning_rate': '7.299e-06', 'epoch': '0.6123'}
{'loss': '0.3008', 'grad_norm': 'inf', 'learning_rate': '7.28e-06', 'epoch': '0.616'}
{'loss': '0.2819', 'grad_norm': '7.688', 'learning_rate': '7.262e-06', 'epoch': '0.6197'}
{'loss': '0.282', 'grad_norm': '6.731', 'learning_rate': '7.243e-06', 'epoch': '0.6233'}
{'loss': '0.2953', 'grad_norm': '3.881', 'learning_rate': '7.225e-06', 'epoch': '0.627'}
{'eval_loss': '0.2572', 'eval_wer': '0.2565', 'eval_runtime': '25.32', 'eval_samples_per_second': '56.37', 'eval_steps_per_second': '7.07', 'epoch': '0.627'}
{'loss': '0.259', 'grad_norm': '9.625', 'learning_rate': '7.206e-06', 'epoch': '0.6307'}
{'loss': '0.2697', 'grad_norm': '10.86', 'learning_rate': '7.188e-06', 'epoch': '0.6344'}
{'loss': '0.2881', 'grad_norm': '7.163', 'learning_rate': '7.169e-06', 'epoch': '0.6381'}
{'loss': '0.2945', 'grad_norm': '16.53', 'learning_rate': '7.151e-06', 'epoch': '0.6418'}
{'loss': '0.2752', 'grad_norm': '9.717', 'learning_rate': '7.132e-06', 'epoch': '0.6455'}
{'loss': '0.3023', 'grad_norm': '10.76', 'learning_rate': '7.114e-06', 'epoch': '0.6492'}
{'loss': '0.2753', 'grad_norm': '4.534', 'learning_rate': '7.095e-06', 'epoch': '0.6528'}
{'loss': '0.2912', 'grad_norm': '7.254', 'learning_rate': '7.077e-06', 'epoch': '0.6565'}
{'loss': '0.2731', 'grad_norm': '5.231', 'learning_rate': '7.058e-06', 'epoch': '0.6602'}
