Starting training at: Thu Apr 16 11:33:45 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'eval_loss': '0.3075', 'eval_wer': '0.2635', 'eval_runtime': '24.3', 'eval_samples_per_second': '58.73', 'eval_steps_per_second': '7.366', 'epoch': '0.7008'}
{'loss': '0.285', 'grad_norm': '8.873', 'learning_rate': '6.836e-06', 'epoch': '0.7045'}
{'loss': '0.3069', 'grad_norm': '4.952', 'learning_rate': '6.817e-06', 'epoch': '0.7082'}
{'loss': '0.3167', 'grad_norm': '7.366', 'learning_rate': '6.799e-06', 'epoch': '0.7119'}
{'loss': '0.2852', 'grad_norm': '4.209', 'learning_rate': '6.78e-06', 'epoch': '0.7156'}
{'loss': '0.2777', 'grad_norm': '53.03', 'learning_rate': '6.761e-06', 'epoch': '0.7192'}
{'loss': '0.2801', 'grad_norm': '4.106', 'learning_rate': '6.743e-06', 'epoch': '0.7229'}
{'loss': '0.3321', 'grad_norm': '11.53', 'learning_rate': '6.724e-06', 'epoch': '0.7266'}
{'loss': '0.3281', 'grad_norm': '15.36', 'learning_rate': '6.706e-06', 'epoch': '0.7303'}
{'loss': '0.2929', 'grad_norm': '11.72', 'learning_rate': '6.687e-06', 'epoch': '0.734'}
{'loss': '0.3226', 'grad_norm': '9.949', 'learning_rate': '6.669e-06', 'epoch': '0.7377'}
{'eval_loss': '0.2856', 'eval_wer': '0.2657', 'eval_runtime': '24.51', 'eval_samples_per_second': '58.22', 'eval_steps_per_second': '7.303', 'epoch': '0.7377'}
{'loss': '0.279', 'grad_norm': '10.78', 'learning_rate': '6.65e-06', 'epoch': '0.7414'}
{'loss': '0.295', 'grad_norm': '5.957', 'learning_rate': '6.632e-06', 'epoch': '0.7451'}
{'loss': '0.3604', 'grad_norm': '20.74', 'learning_rate': '6.613e-06', 'epoch': '0.7487'}
{'loss': '0.2991', 'grad_norm': '7.485', 'learning_rate': '6.595e-06', 'epoch': '0.7524'}
